Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
00:00.0,0,0,0.566714,0.630048,0.227793,0.230767,0.228877,2.63765,2.534659,2.758786,0.668261,50.012276,-0.001131,-0.001259
30:00.0,0,0,0.567743,0.633574,0.229057,0.231915,0.230868,2.665763,2.55131,2.795339,0.662257,49.968636,-0.001139,-0.001289
00:00.0,0,0,0.571922,0.648615,0.229044,0.231794,0.229757,2.65128,2.541167,2.75835,0.665208,50.177315,-0.001132,-0.001271
30:00.0,0,0,0.571818,0.646548,0.229225,0.23175,0.229564,2.66522,2.551319,2.767404,0.665305,49.923328,-0.001137,-0.001276
00:00.0,0,0,0.617954,0.824667,0.230157,0.231848,0.230427,2.678051,2.544204,2.767811,0.664662,50.097378,-0.00114,-0.001281
30:00.0,0,0,0.599884,0.755476,0.229153,0.231346,0.230145,2.681285,2.548544,2.780183,0.664741,49.876606,-0.00114,-0.001281
00:00.0,0,0,0.63182,0.880207,0.22904,0.231435,0.229349,2.665671,2.547212,2.755097,0.66798,50.088158,-0.001138,-0.001268
30:00.0,0,0,0.586755,0.706101,0.228742,0.230285,0.229162,2.665151,2.522143,2.747137,0.670027,50.109818,-0.001134,-0.001256
00:00.0,0,0,0.598297,0.699974,0.227236,0.22881,0.227771,2.647856,2.505521,2.726062,0.673617,50.072212,-0.001124,-0.001233
30:00.0,0,0,0.56468,0.619009,0.226537,0.228322,0.22735,2.640426,2.503953,2.726154,0.675503,50.033028,-0.001123,-0.001226
00:00.0,0,0,0.566045,0.627623,0.228073,0.229861,0.228827,2.654212,2.515859,2.744728,0.669596,50.005302,-0.001128,-0.001251
30:00.0,0,0,0.566677,0.628791,0.227732,0.229696,0.228477,2.649305,2.518692,2.744353,0.667768,49.957603,-0.001123,-0.001252
00:00.0,0,0,0.56537,0.627322,0.227873,0.229931,0.229392,2.651207,2.516066,2.753736,0.669936,50.068874,-0.00113,-0.001252
30:00.0,0,0,0.566602,0.634254,0.229246,0.232049,0.230867,2.656987,2.537086,2.777256,0.662911,50.081905,-0.001134,-0.00128
00:00.0,0,0,0.568043,0.641116,0.229281,0.232191,0.230241,2.655952,2.545653,2.773166,0.663096,50.028778,-0.001134,-0.00128
30:00.0,0,0,0.568328,0.638985,0.227976,0.230807,0.228951,2.652976,2.541217,2.767303,0.665187,49.780083,-0.001129,-0.001267
00:00.0,0,0,0.567885,0.636285,0.227514,0.229484,0.229018,2.646039,2.510014,2.746639,0.669261,50.062187,-0.001124,-0.001248
30:00.0,0,0,0.564789,0.625641,0.227647,0.22959,0.229096,2.65134,2.515932,2.75116,0.670394,50.043922,-0.001129,-0.00125
00:00.0,0,0,0.56795,0.63819,0.227541,0.23033,0.228454,2.638319,2.525384,2.744025,0.670083,49.995392,-0.001127,-0.001249
30:00.0,0,0,0.565762,0.627834,0.227843,0.230667,0.228812,2.641721,2.528479,2.747547,0.670755,50.114353,-0.001131,-0.001251
00:00.0,0,0,0.566013,0.629252,0.227932,0.230634,0.229569,2.653992,2.532677,2.765765,0.668821,50.039745,-0.001135,-0.001261
30:00.0,0,0,0.566922,0.632999,0.228573,0.230715,0.230376,2.651937,2.520517,2.767915,0.664147,50.0126,-0.001128,-0.00127
00:00.0,0,0,0.567324,0.633257,0.227561,0.230309,0.228507,2.642603,2.529558,2.749269,0.670778,50.010582,-0.001131,-0.00125
30:00.0,0,0,0.567264,0.632868,0.226953,0.22911,0.22793,2.633544,2.510684,2.731802,0.673244,50.137569,-0.001124,-0.001235
00:00.0,0,0,0.563811,0.619854,0.22593,0.22949,0.227341,2.605036,2.508613,2.720058,0.673934,50.058842,-0.001118,-0.001225
30:00.0,0,0,0.564347,0.622891,0.227289,0.23032,0.22877,2.63101,2.530221,2.747967,0.671895,50.170593,-0.00113,-0.001246
00:00.0,0,0,0.566809,0.628263,0.227573,0.231189,0.229883,2.63903,2.544381,2.776634,0.666628,49.983009,-0.001133,-0.001267
30:00.0,0,0,0.568209,0.632298,0.227471,0.23045,0.229014,2.64319,2.54389,2.766834,0.669499,49.969143,-0.001134,-0.001258
00:00.0,0,0,0.568547,0.632423,0.227365,0.231007,0.229733,2.631575,2.536384,2.767496,0.667078,50.004047,-0.001129,-0.001261
30:00.0,0,0,0.571561,0.643912,0.227827,0.23077,0.229264,2.645464,2.545382,2.767262,0.667046,49.95639,-0.001132,-0.001264
00:00.0,0,0,0.568907,0.634198,0.226801,0.230368,0.228336,2.630534,2.541783,2.755395,0.672762,49.996418,-0.001134,-0.001247
30:00.0,0,0,0.568519,0.633369,0.228048,0.23138,0.230212,2.650653,2.54614,2.785233,0.665931,49.983994,-0.001137,-0.001274
